"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"KIR",408796.5464,230.885727,3459130.413,1032.564654,22.36041,11.8179,"na","na",0,"na"
"KNA",408.210603,62.014371,10262.9088,270.825058,22.89831,3.977533,"na","na",6,"https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC"
"KOR",7979.400658,16692.13546,324993.7978,99712.88376,16.7402,2.455247,11.57,1.4,6,"https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD"
"KWT",162.289134,2979.114917,11895.81218,17417.87587,17.10378,1.364254,20,3,5,"https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf"
"LAO",0,38581.9612,0,231276.1399,16.68221,0,18,"na",0,"na"
"LBN",40.839545,268.277274,19315.84107,10329.04876,2.597309,0.21143,"na","na",0,"na"
"LBR",256.049624,3916.367591,247767.6811,96634.42399,4.052766,0.103343,"na","na",5,"https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf"
"LBY",2277.750889,3437.476191,357895.3125,1622615.431,0.211848,0.636429,"na","na",0,"na"
"LCA",34.007036,116.653527,15560.30791,622.311137,18.74521,0.21855,"na","na",0,"na"
"LIE",0,70.479381,0,167.064349,42.18697,0,12.3,0,5,"https://www.cbd.int/doc/world/li/li-nr-05-en.pdf"
"LKA",398.564426,19897.4988,534085.0497,66631.50337,29.862,0.074626,28,"na",5,"https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf"
"LSO",0,153.438412,0,30494.99377,0.503159,0,"na","na",0,"na"
"LTU",1567.706297,11027.50278,6125.653875,64696.51583,17.04497,25.59247,"na","na",0,"na"
"LUX",0,1332.327974,0,2603.081524,51.18272,0,27,"na",6,"https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8"
"LVA",4631.30083,11725.58525,28879.55287,64501.94768,18.17865,16.03661,17,"na",5,"https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf"
"MAF",1030.53608,7.60907,1068.741983,59.578286,12.77155,96.42516,"na","na",0,"na"
"MAR",1904.2686,17382.35496,276136.4075,407280.495,4.267908,0.689612,16.2,"na",6,"https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE"
"MCO",283.522868,0.528888,284.22031,1.595194,33.15511,99.75462,"na","na",5,"https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf"
"MDA",0,1409.67766,0,33963.76161,4.150535,0,5.8,0,6,"https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23"
"MDG",11017.95793,44521.09838,1205824.849,594718.7259,7.486076,0.913728,"na","na",5,"https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf"
"MDV",580.758998,6.118706,922109.9914,304.666095,2.008332,0.062982,"na","na",5,"https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf"
"MEX",707955.7545,284800.9268,3284659.67,1965284.828,14.49159,21.5534,12.9,21,6,"https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf"
"MHL",5388.396257,33.593723,2004587.264,281.928035,11.91571,0.268803,16,18,5,"na"
"MKD",0,2279.092838,0,25443.14057,8.957592,0,"na",0,0,"na"
"MLI",0,103445.3359,0,1256684.114,8.23161,0,"na","na",0,"na"
"MLT",4146.551077,98.594674,55696.65564,324.970466,30.33958,7.444883,13,"na",5,"https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf"
"MMR",2456.796056,42746.75561,514147.2175,673078.5676,6.350931,0.477839,8.7,"na",6,"https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C"
"MNE",10.436511,1460.642353,7459.237226,13847.56188,10.54801,0.139914,9.05,"na",5,"https://www.cbd.int/doc/world/me/me-nr-05-en.pdf"
"MNG",0,310015.4251,0,1565864.159,19.79836,0,17.4,0,5,"https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf"
"MNP",257249.9205,38.441128,773667.8566,501.224059,7.66945,33.25069,"na","na","na","na"
"MOZ",9762.687213,228501.7882,574409.6185,791081.8731,28.88472,1.699604,26,"na",5,"https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf"
"MRT",6487.581023,6507.878451,156197.8626,1046302.522,0.621988,4.153438,"na","na",5,"https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf"
"MSR",0.000273,11.182345,7628.258983,100.664381,11.10854,4E-06,"na","na","na","na"
"MTQ",47915.67245,1280.736358,47644.30608,1149.925062,100,100.5696,"na","na","na","na"
"MUS",49.64392,97.460291,1280068.317,2062.481937,4.725389,0.003878,7.6,"na",5,"https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf"
"MWI",0,27190.40931,0,118859.7323,22.87605,0,"na","na",5,"https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf"
"MYS",7437.982303,63419.10151,451741.5382,331700.5726,19.11938,1.646513,"na",1.4,5,"https://www.cbd.int/doc/world/my/my-nr-05-en.pdf"
"MYT",68829.3328,44.436072,63362.33751,396.377408,11.21055,100,"na","na",0,"na"
"NAM",9646.27499,313534.3569,562727.6243,827465.4339,37.89093,1.7142,16.7,"na",5,"https://www.cbd.int/doc/world/na/na-nr-05-en.pdf"
"NCL",1320501.093,11419.19727,1371803.153,19141.03171,59.65821,96.26025,"na","na","na","na"
"NER",0,216586.306,0,1190098.655,18.19902,0,15.21,0,6,"https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC"
"NFK",189083.8871,19.607996,432638.0836,42.778966,45.8356,43.70486,"na","na","na","na"
"NGA",30.555979,127359.0343,182868.1867,914306.1122,13.92958,0.016709,6,"na",5,"https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf"
"NIC",6660.345162,48104.12745,223935.2389,129222.3127,37.22587,2.974228,"na","na",0,"na"
"NIU",4.383517,54.720321,318243.6931,267.755527,20.43667,0.001377,23,"na",5,"https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf"
"NLD",17246.96069,7912.89839,64204.97933,35205.61182,22.47624,26.86234,21.7,19,5,"https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf"
"NOR",7716.917492,54748.74145,926317.7348,325287.8156,16.83086,0.833075,17.2,3.1,6,"https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5"
"NPL",0,34897.91838,0,147709.5419,23.62604,0,23.39,0,6,"https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951"
"NZL",1249447.107,88464.44129,4106953.859,269651.6705,32.80693,30.42272,36.73,7,5,"https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf"
"OMN",663.989764,7985.072834,538980.1915,310373.1429,2.572733,0.123194,"na","na",5,"https://www.cbd.int/doc/world/om/om-nr-05-en.pdf"
"PAK",1707.397433,98288.08094,222743.9199,798143.6542,12.31459,0.766529,12,0,5,"https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf"
"PAN",5593.115449,15773.05873,332643.4965,75497.94621,20.89204,1.681414,31.8,13.5,6,"https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619"
"PCN",839648.6171,37.035971,839478.9503,45.589943,81.23715,100.0202,"na","na",0,"na"
"PER",4036.819352,279619.5731,838329.5928,1298537.038,21.53343,0.481531,17.3,0.3,6,"https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872"
"PHL",21269.1568,45929.08936,1835028.192,298774.9046,15.37247,1.159064,12.8,"na","PBSAP 2015-2028","https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf"
"PLW",608173.277,221.370544,608152.4889,501.101386,44.1768,100.0034,"na","na",0,"https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf"
"PNG",3343.51192,17247.55939,2407381.818,467405.9203,3.69006,0.138886,"na","na",0,"na"
"POL",7210.906575,123950.7319,31945.64308,311923.5191,39.73754,22.57243,19.6,24,6,"https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD"
"PRI",3077.928815,657.215588,176163.0606,9041.14294,7.269165,1.747204,"na","na",0,"na"
"PRK",25.611911,2975.649808,115967.2688,122186.1412,2.435342,0.022085,7.2,"na",5,"https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf"
"PRT",289974.0681,21076.11205,1724156.15,92141.09473,22.87374,16.81832,22,"na",5,"https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf"
"PRY",0,57473.37524,0,401498.4235,14.31472,0,15,0,6,"https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685"
"PSE",0,516.767863,0,6181.987004,8.359252,0,9,0,5,"https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf"
"PYF",206.943116,73.831954,4795468.095,3780.061341,1.953195,0.004315,"na","na",0,"na"
"QAT",538.143058,1512.836196,31987.65323,11435.55274,13.22924,1.682346,"na","na",0,"https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf"
"REU",40.854603,1600.91019,316498.9308,2536.304619,63.11979,0.012908,"na","na",0,"na"
"ROU",6865.607474,58224.53787,29726.44952,237452.8706,24.52046,23.09595,33,"na",5,"https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf"
"RUS",228247.3381,1641400.741,7673314.113,16874835.52,9.726914,2.97456,11.8,"na",5,"https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf"
"RWA",0,2319.729895,0,25452.13068,9.114089,0,10.3,0,5,"https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf"
"SAU",5495.452494,92063.63578,220338.2086,1934058.339,4.760127,2.494099,"na","na",0,"https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf"
"SDN",10661.95346,42697.53551,66785.64454,1871251.813,2.281763,15.96444,5.8,10,6,"https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D"
"SEN",1766.175004,50179.21798,158426.4028,197923.9723,25.35277,1.114824,"na",2.44,6,"https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483"
"SGP",0.100552,33.585431,762.68502,604.646128,5.55456,0.013184,4.7,"na",5,"https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf"
"SGS",1233452.845,505.43043,1445886.657,3971.692688,12.72582,85.30772,"na","na",0,"na"
"SHN",902497.1024,163.55775,1647745.112,434.343214,37.65634,54.77164,"na","na",0,"na"
"SJM",82714.06037,40092.18366,1081582.098,61261.11552,65.44475,7.647506,"na","na",0,"na"
"SLB",1879.382668,514.977904,1609756.547,29191.64527,1.764128,0.11675,5,6,5,"https://www.cbd.int/doc/world/sb/sb-nr-05-en.pdf"
"SLE",862.533185,6824.701851,160452.5672,72709.02892,9.386319,0.537563,4,"na",5,"https://www.cbd.int/doc/world/sl/sl-nr-05-en.pdf"
"SLV",664.798852,1805.57217,94238.04744,20573.30437,8.776287,0.705446,"na","na",0,"na"
"SOM",0,0,784501.553,637991.5854,0,0,0.8,0,5,"https://www.cbd.int/doc/world/so/so-nr-05-en.pdf"
"SPM",7.021862,7.163116,12367.3281,237.589267,3.014915,0.056778,"na","na",0,"na"
"SRB",0,6687.226046,0,88509.11514,7.555409,0,0.8,0,5,"https://www.cbd.int/doc/world/so/so-nr-05-en.pdf"
"SSD",0,98214.48596,0,633580.4791,15.5015,0,13,0,5,"https://www.cbd.int/doc/world/ss/ss-nr-05-en.pdf"
"STP",35.280222,289.416981,131709.1714,989.259888,29.25591,0.026786,30,"na",5,"https://www.cbd.int/doc/world/st/st-nr-05-fr.pdf"
"SUR",1980.928256,21425.69157,128362.9877,147558.4488,14.52014,1.543224,"na","na",0,"na"
"SVK",0,18395.39989,0,48941.21743,37.58672,0,23.3,0,5,"https://www.cbd.int/doc/world/sk/sk-nr-05-en.pdf"
"SVN",208.23342,10877.496,186.314047,20308.54692,53.56117,100,13,0.4,5,"https://www.cbd.int/doc/world/si/si-nr-05-en.pdf"
"SWE",23818.3509,64596.94284,154980.4918,449390.1761,14.37436,15.36861,14.5,10,6,"https://chm.cbd.int/database/record/060FF276-745E-F718-DC53-A1A48915D17E"
"SWZ",0,738.20711,0,17335.867,4.258265,0,3.9,0,5,"https://www.cbd.int/doc/world/sz/sz-nr-05-en.pdf"
"SXM",43.282473,0.000136,497.533856,36.455424,0.000373,8.699403,"na","na",0,"na"
"SYC",350002.9291,242.394473,1340839.459,486.864575,49.78684,26.10327,46.6,0.03,5,"https://www.cbd.int/doc/world/sc/sc-nr-05-en.pdf"
"SYR",25.201794,1292.567557,10203.61673,188612.6151,0.685303,0.246989,"na","na",0,"na"
"TCA",149.820284,451.737848,154242.1775,1018.174578,44.36742,0.097133,"na","na",0,"na"
"TCD",0,267716.0991,0,1276585.969,20.97125,0,12.3,"na",5,"https://www.cbd.int/doc/world/td/td-nr-05-fr.pdf"
"TGO",30.987414,15876.86929,15520.93847,57480.648,27.62124,0.199649,"na","na",0,"https://chm.cbd.int/database/record/77EEB058-F6CE-9107-7EE8-1F96B95E6314"
"THA",5773.799574,97391.37501,306890.539,517786.6125,18.80917,1.881387,"na",20,6,"https://chm.cbd.int/database/record/46D5C83F-588E-181B-D5F7-80C3E0A7552E"
"TJK",0,31690.1072,0,142244.2178,22.27866,0,"na",0,0,"na"
"TKL",9.510634,0.998313,321242.5226,15.181307,6.575934,0.002961,"na","na",0,"na"
"TKM",2331.770078,15336.26559,77885.16348,472137.5437,3.248262,2.993857,4,"na",5,"https://www.cbd.int/doc/world/tm/tm-nr-05-ru.pdf"
"TLS",582.968708,2400.674939,42501.27223,15006.53549,15.99753,1.37165,"na","na",0,"na"
"TON",390.037037,96.492068,668054.6083,766.502265,12.58862,0.058384,"na","na",0,"na"
"TTO",37.071977,1594.834874,75798.46305,5213.102096,30.59282,0.048909,32,0.1,5,"https://chm.cbd.int/api/v2013/documents/C7EFE124-DEAA-B14C-3D98-D0B9E66D99DE/attachments/TT%20Fifth%20National%20Report%20to%20the%20CBD_FINAL.pdf"
"TUN",1042.360893,12286.01772,100660.5035,155230.8391,7.914676,1.035521,17,10,6,"https://chm.cbd.int/database/record/5DAF5DAA-D4D2-F800-CA8C-9462C5D56858"
"TUR",270.18272,1709.103181,255925.9584,782238.8742,0.218489,0.105571,"na","na",5,"https://www.cbd.int/doc/world/tr/tr-nr-05-en.pdf"
"TUV",213.859993,5.532731,731900.0274,41.785977,13.24064,0.02922,"na","na",0,"No information in 5th national report"
"TWN",3846.48539,7145.881111,342996.9472,36245.33119,19.71531,1.121434,"na","na",0,"na"
"TZA",7330.4453,362263.5408,243129.5958,947252.6908,38.2436,3.015036,54.6,6.5,6,"https://chm.cbd.int/database/record/57914673-CF81-82CF-0808-C76D810BAB97"
"UGA",0,39053.54918,0,243144.8535,16.06185,0,18,0,5,"https://www.cbd.int/doc/world/ug/ug-nr-05-en.pdf"
"UKR",4606.122844,23854.95209,134873.1664,598828.7966,3.983601,3.415151,6.05,"na",5,"https://www.cbd.int/doc/world/ua/ua-nr-05-en.pdf"
"UMI",1278997.392,363.497911,1964384.514,363.495,100.0008,65.10932,"na","na",0,"na"
"URY",978.887181,6556.762923,130097.9744,178459.889,3.674082,0.752423,8.6,"na",6,"https://chm.cbd.int/database/record/50CCF748-F428-8010-744B-D5B1BD5F3A66"
"USA",1646302.243,1222239.664,8591493.148,9490391.294,12.87871,19.162,0,0,0,"na"
"UZB",0,15200.69725,0,450362.5106,3.375214,0,5,0,5,"https://www.cbd.int/doc/world/uz/uz-nr-05-en.pdf"
"VCT",80.359651,91.899504,36510.93366,409.906569,22.41962,0.220098,"na",8.5,5,"https://www.cbd.int/doc/world/vc/vc-nr-05-en.pdf"
"VEN",16499.94,496700.9958,473325.0963,917367.6523,54.14416,3.485964,"na","na",5,"https://www.cbd.int/doc/world/ve/ve-nr-05-es.pdf"
"VGB",3.314329,15.995538,80529.47601,175.605042,9.108814,0.004116,"na","na","na","na"
"VIR",306.278747,51.815838,36030.25521,375.62477,13.79457,0.85006,"na","na","na","na"
"VNM",3630.264972,24994.31244,647232.2216,329880.371,7.576781,0.560891,7,"na",5,"https://www.cbd.int/doc/world/vn/vn-nr-05-en.pdf"
"VUT",47.509867,528.222229,622073.2227,12575.12729,4.200532,0.007637,"na","na","na","na"
"WLF",0,0.301679,259805.4408,180.605517,0.167037,0,"na","na","na","na"
"WSM",190.537751,238.023346,132305.5976,2893.945283,8.224874,0.144013,"na","na",5,"https://www.cbd.int/doc/world/ws/ws-nr-05-en.pdf"
"YEM",2562.368242,3519.593039,548013.9807,455938.919,0.771944,0.467573,"na","na",5,"https://www.cbd.int/doc/world/ye/ye-nr-05-en.pdf"
"ZAF",224640.2547,103817.9578,1542559.897,1224384.577,8.479196,14.56282,12.96,10,6,"https://chm.cbd.int/database/record/33303CBE-1BB9-9034-35F8-283CC0A1D63F"
"ZMB",0,311772.6865,0,755640.3907,41.2594,0,37.8,0,6,"https://chm.cbd.int/database/record/AB99C119-FDF3-C589-9CBB-B0B2C39A58C8"
"ZWE",0,106837.8044,0,392573.2003,27.21475,0,28,0,5,"https://www.cbd.int/doc/world/zw/zw-nr-05-en.pdf"
