year,national_waters,abnj,global_ocean
2010,9727489,1373228,11100717
2011,9757987,1373231,11131218
2012,11252169,1570732,12822901
2013,11510404,1581656,13092060
2014,12937939,1673265,14611203
2015,13609781,1673304,15283085
2016,15815542,1786769,17602311
2017,18368116,3827877,22195992
2018,22726837,3828159,26554996
2019,23937639,3828506,27766145
2020,25562145,3828530,29390675
2021,25700981,3828530,29529511
2022,26849209,3830515,30679723
2023,27450758,3830515,31281273
2024,27943230,3830518,31773747
2025,32471778,3847419,36319197
2026,32471778,3847419,36319197